time_s,Kqv,Q0,V0
4380,2.84,126.99,230.5
4395,2.76,127.47,230.54
4410,2.85,126.68,230.54
4425,2.83,126.8,230.57
4440,2.93,126.66,230.57
4455,2.7,127.59,230.52
4470,2.83,127.09,230.5
4485,2.78,127.15,230.49
4500,2.74,126.57,230.51
4515,2.76,126.52,230.55
4530,2.76,126.64,230.55
