time_s,Kqv,Q0,V0
2100,0,9.82,230.59
2115,0,9.76,230.55
2130,0,9.81,230.57
2145,0,9.83,230.57
2160,0,9.81,230.53
2175,1.16,27.56,230.55
2190,NaN,158.31,230.59
2205,3.76,90.2,230.48
2220,3.54,97.73,230.54
2235,3.29,101.8,230.46
2250,3.34,105.63,230.54
2265,3.12,107.67,230.45
2280,3.35,108.53,230.53
2295,3.41,109.28,230.45
2310,3.29,109.85,230.53
2325,3.21,110.07,230.46
2340,3.26,111.2,230.52
2355,3.23,112.04,230.49
2370,3.07,112.91,230.48
2385,3.2,114.43,230.53
2400,2.93,115.15,230.45
2415,3.15,116.88,230.48
2430,3.05,117.45,230.53
2445,2.95,118.07,230.48
2460,2.97,118.66,230.51
2475,2.98,119.95,230.46
2490,2.92,120.5,230.54
2505,3.05,121.03,230.45
2520,2.99,121.53,230.54
2535,3.14,122.32,230.46
2550,3.05,122.81,230.52
2565,3.09,123.59,230.51
2580,2.64,123.46,230.45
2595,2.9,124.46,230.52
2610,2.77,124.61,230.52
2625,2.93,125.12,230.46
2640,2.95,125.38,230.45
2655,2.9,126.08,230.49
2670,2.86,126.24,230.53
2685,2.85,126.43,230.52
2700,2.88,126.7,230.54
2715,2.9,126.98,230.52
2730,2.77,127.23,230.48
2745,2.83,127.51,230.47
2760,2.84,127.3,230.44
2775,2.94,127.84,230.46
2790,2.87,127.8,230.46
2805,2.8,128.33,230.46
2820,2.71,128.29,230.47
2835,2.84,128.94,230.5
2850,2.86,128.62,230.53
2865,2.67,129.33,230.54
2880,2.82,128.84,230.49
2895,2.78,129.34,230.46
2910,2.79,129.09,230.45
2925,2.8,129.49,230.45
2940,2.68,129.4,230.48
2955,2.76,129.56,230.47
2970,2.84,129.65,230.47
2985,2.86,130.14,230.51
3000,2.79,130.21,230.54
3015,2.81,130.36,230.54
3030,2.69,130.39,230.54
3045,2.79,130.55,230.54
3060,2.75,130.73,230.53
3075,2.86,130.65,230.53
3090,2.85,130.76,230.52
3105,2.77,130.87,230.54
3120,2.63,130.86,230.54
3135,2.81,130.92,230.51
3150,2.82,131.17,230.49
3165,2.66,130.6,230.45
3180,2.76,131.25,230.47
3195,2.68,130.95,230.5
3210,2.78,131.35,230.51
3225,2.74,131.07,230.53
3240,2.75,131.4,230.48
3255,2.56,131.17,230.44
3270,2.8,131.62,230.45
3285,2.65,131.47,230.53
3300,2.74,131.78,230.45
3315,2.78,131.49,230.51
3330,2.54,131.74,230.49
3345,2.78,131.57,230.45
3360,2.77,131.93,230.54
3375,2.61,131.58,230.5
3390,2.74,131.96,230.46
3405,2.86,131.56,230.45
3420,2.7,131.83,230.45
3435,2.69,131.71,230.52
3450,2.75,132.2,230.53
3465,2.79,131.6,230.48
3480,3.1,115.06,230.48
3495,3.13,105.74,230.49
3510,3.14,101.25,230.5
3525,3.25,99.64,230.52
3540,3.54,98.26,230.54
3555,3.44,97.67,230.46
3570,3.45,97.09,230.52
3585,3.41,97.24,230.53
3600,0,10.05,230.55
3615,0,10.09,230.6
3630,0,10.04,230.56
3645,0,10.06,230.58
3660,0,10.03,230.57
3675,0,10.04,230.59
3690,0,10.06,230.57
3705,0,10.02,230.55
3720,0,10.01,230.6
3735,0,10,230.55
3750,0,10.02,230.59
3765,0,9.99,230.57
3780,0,10.01,230.59
3795,0,9.98,230.55
3810,0,9.93,230.58
3825,0,9.95,230.6
3840,0,9.99,230.55
3855,0,9.95,230.54
3870,0,9.95,230.55
3885,0,9.94,230.54
3900,0,10,230.55
3915,0,9.92,230.55
3930,0,9.87,230.56
3945,0,9.95,230.56
3960,0,9.95,230.54
3975,0,9.93,230.57
3990,0,9.94,230.59
4005,0,9.9,230.6
4020,0,9.91,230.59
4035,0,9.85,230.58
4050,0,9.91,230.58
4065,0,9.94,230.58
4080,0,9.94,230.56
4095,0,9.92,230.55
4110,0,9.83,230.55
4125,0,9.9,230.58
4140,0,9.88,230.6
4155,0,9.87,230.59
4170,0,9.88,230.55
4185,0,9.91,230.55
4200,0,9.87,230.55
