time_s,npv,P0,nqv,Q0,V0
3285,0.59,50.03,0.91,66.23,230.6
3300,0.85,52.54,1.31,68.42,230.39
3315,0.87,50.43,1.26,65.99,230.08
3330,0.81,52.06,1.17,67.08,230.08
3345,1.05,49.94,1.2,65.79,230.23
3360,0.93,50.75,1.19,66.83,230.44
3375,0.8,49.92,1.03,66.04,230.55
3390,0.87,50.04,1.11,66.61,230.59
3405,1.14,51.72,1.29,67.55,230.38
3420,0.64,49.91,1.1,65.55,230.13
3435,1.02,49.59,1.17,65.67,230.45
3450,0.63,49.55,1.05,66.14,230.59
3465,1.05,50.22,1.37,65.67,230.12
3480,1.01,49.62,1.28,65.66,230.41
3495,0.86,51.56,1.2,67.45,230.48
3510,1.03,50.15,1.05,65.76,230.11
3525,0.8,51.92,1.14,67.51,230.14
3540,0.8,49.3,1.15,65.35,230.43
3555,0.92,50.72,1.21,66.77,230.44
3570,0.68,49.26,1.11,65.4,230.55
3585,0.71,49.91,1.18,66.02,230.52
3600,1.02,49.93,1.24,66.03,230.5
3615,0.82,50.9,1.14,66.64,230.48
3630,1.04,49.65,1.3,65.76,230.54
3645,0.79,49.88,1.15,65.74,230.42
3660,0.78,49.87,1.1,65.36,230.21
3675,1.27,49.91,1.25,65.56,230.11
3690,0.75,49.62,1.09,65.08,230.11
3705,0.98,49.97,1.16,65.43,230.16
3720,1.07,49.36,1.24,65.31,230.32
3735,0.91,49.31,1.12,65.31,230.33
3750,0.8,49.18,1.16,65.26,230.47
3765,1.07,49.18,1.11,65.6,230.6
3780,0.95,51.21,1.12,67.33,230.53
3795,0.78,49.48,1.08,65.33,230.68
3810,0.72,51.27,1.19,66.92,230.67
3825,0.58,49.42,1.17,65.53,230.73
3840,0.8,51.73,1.19,66.16,230.63
3855,0.73,52.53,1.17,66.49,230.44
3870,0.8,53.64,1.03,67.29,230.24
3885,0.95,53.71,1.31,69.49,230.21
3900,0.95,52.3,1.14,68.51,230.72
3915,0.93,52.85,1.15,68.43,230.43
3930,0.93,54.16,1.28,70.24,230.62
3945,0.7,52.73,0.96,68.72,230.65
