time_s,nqv,Q0,V0
4230,1.13,69.28,230.28
4245,1.29,68.33,230.59
4260,1.12,69.95,230.71
4275,0.96,68.72,230.71
4290,1.31,68.11,230.71
4305,1.07,67.68,230.68
4320,1.14,67.96,230.72
4335,1.23,69.05,230.54
4350,1.06,67.82,230.49
4365,1.11,67.33,230.69
4380,1.28,69.57,230.69
4395,1.28,67.79,230.43
