time_s,npv,P0,V0
1530,1.5,2031.5,230.39
1545,1.5,2031.81,230.49
1560,1.5,2035.29,230.44
1575,1.5,2032.53,230.45
1590,NaN,2060.14,230.5
1605,1.45,2471.15,230.42
1620,1.44,2468.92,230.38
1635,1.45,2467.81,230.42
1650,1.44,2471.96,230.51
1665,1.44,2471.99,230.45
1680,1.45,2469,230.41
1695,1.45,2468.71,230.51
1710,1.42,2467.16,230.39
1725,1.45,2467.35,230.51
1740,1.43,2470.61,230.5
1755,1.45,2466.59,230.48
1770,1.45,2467.04,230.44
1785,1.44,2463.28,230.38
1800,1.43,2471.23,230.43
1815,1.42,2470.84,230.52
1830,1.43,2469.9,230.42
1845,1.43,2469.24,230.38
1860,1.43,2468.86,230.41
1875,1.44,2464.67,230.5
1890,1.68,4373.56,230.63
1905,1.68,4367.35,230.62
1920,1.67,4369.19,230.61
1935,1.67,4361.52,230.62
1950,1.67,4364.38,230.58
1965,1.63,5791.81,230.55
1980,1.55,5830.53,230.58
1995,1.55,5830.73,230.59
2010,NaN,6571.5,230.53
2025,1.6,6564.79,230.52
2040,1.6,6556.96,230.47
2055,1.61,6558.91,230.56
2070,1.6,6555.6,230.53
2085,1.6,6553.71,230.47
2100,1.6,6554.77,230.56
2115,NaN,5826.3,230.55
2130,1.55,5827.19,230.51
2145,1.54,5826,230.5
2160,1.54,5832.48,230.55
2175,1.55,5832.8,230.6
2190,1.55,5827.81,230.54
2205,1.55,5828.46,230.49
2220,1.56,5823.44,230.49
2235,1.43,5816.73,230.5
2250,1.32,3928.13,230.39
2265,1.34,3925.84,230.39
2280,1.35,3922.83,230.45
2295,1.32,3923.34,230.48
2310,1.34,3925.68,230.49
2325,1.34,3919,230.43
2340,1.34,3921.79,230.37
2355,1.33,3920.69,230.46
2370,1.33,3921.33,230.48
2385,1.33,3916.87,230.41
2400,1.34,3924,230.37
2415,1.34,3914.05,230.38
2430,1.33,3915.42,230.48
2445,1.34,3924.11,230.46
2460,1.35,3916.63,230.4
2475,1.33,3911.79,230.35
2490,1.33,3913.17,230.35
2505,1.33,3915.22,230.45
2520,1.33,3910.23,230.45
2535,1.32,3916.07,230.41
2550,1.32,3910.09,230.39
2565,1.33,3912.38,230.44
2580,1.32,3910.07,230.47
2595,1.31,3905.01,230.45
2610,1.31,3911.52,230.41
2625,1.33,3907.54,230.38
2640,1.33,3906.68,230.42
2655,1.34,3902.46,230.47
2670,1.33,3906.71,230.48
2685,1.32,3903.67,230.48
2700,1.33,3900.2,230.47
2715,1.32,3900.72,230.48
2730,1.32,3902.12,230.44
2745,1.32,3900.36,230.36
2760,1.33,3902.51,230.41
2775,1.33,3900.55,230.48
2790,1.32,3897.32,230.46
2805,1.34,3899.78,230.43
2820,1.32,3905.99,230.39
2835,1.33,3903.4,230.38
2850,1.34,3900.44,230.38
2865,1.33,3903.75,230.45
2880,1.32,3899.39,230.48
2895,1.33,3903.06,230.45
2910,1.31,3904.04,230.48
2925,1.32,3901.12,230.49
2940,1.33,3904.91,230.49
2955,1.32,3898.02,230.47
2970,1.32,3902.39,230.44
2985,1.34,3903.94,230.37
3000,1.32,3905.02,230.4
3015,1.34,3901.7,230.48
3030,1.33,3897.7,230.49
3045,1.33,3898.47,230.48
3060,1.34,3900.57,230.41
3075,1.33,3903.46,230.37
3090,1.32,3909.53,230.46
3105,1.32,3899.5,230.49
3120,1.32,3902.29,230.41
3135,1.32,3904.69,230.37
3150,1.32,3900.86,230.43
3165,1.32,3907.05,230.48
3180,1.33,3897.53,230.49
3195,1.33,3905.92,230.5
3210,1.33,3902.72,230.48
3225,1.33,3900.4,230.48
3240,1.33,3898.77,230.5
3255,1.33,3900.77,230.47
3270,1.32,3902.62,230.49
3285,1.32,3904.54,230.4
3300,1.34,3895.99,230.48
3315,1.34,3901.34,230.45
3330,1.33,3901.01,230.38
3345,1.33,3894.97,230.38
3360,1.32,3897.9,230.37
3375,1.33,3898.57,230.38
3390,1.33,3902.15,230.37
3405,1.33,3897.88,230.49
3420,1.33,3899.35,230.46
3435,1.33,3900.24,230.37
3450,1.32,3897.31,230.44
3465,1.32,3904.78,230.46
3480,1.33,3900.2,230.42
3495,1.33,3898.6,230.43
3510,1.34,3898.24,230.49
3525,1.33,3892.4,230.4
3540,1.33,3900.8,230.4
3555,1.34,3899.25,230.44
3570,1.34,3900.08,230.45
3585,1.35,3893.15,230.41
3600,0.93,2404.55,230.47
3615,NaN,1203.83,230.61
3630,NaN,534.94,230.43
3645,0.64,163.44,230.55
3660,0.58,163.9,230.41
3675,0.64,164.35,230.53
3690,0.64,162.67,230.49
3705,0.65,165.06,230.43
3720,0.63,160.54,230.47
3735,0.62,160.48,230.49
3750,0.6,157.12,230.51
3765,0.63,159.37,230.42
3780,0.54,157.45,230.55
3795,0.68,162.31,230.42
3810,0.65,157.53,230.53
3825,0.64,158.42,230.41
3840,0.66,158.88,230.52
3855,0.59,159.64,230.41
3870,0.44,158.88,230.54
3885,0.74,159.08,230.42
3900,0.6,157.72,230.56
3915,0.7,157.65,230.42
3930,0.7,158.85,230.53
3945,0.59,159.07,230.44
3960,0.67,157.97,230.54
3975,0.67,158.91,230.41
3990,0.69,156.18,230.5
4005,0.71,158.23,230.53
4020,0.59,160.62,230.41
4035,0.54,156.38,230.51
4050,0.71,158.8,230.48
4065,0.73,157,230.41
4080,0.64,155.86,230.52
4095,0.63,157.76,230.53
4110,0.77,160.67,230.41
4125,0.56,156.73,230.43
4140,0.75,156.43,230.54
4155,0.49,158.06,230.48
4170,0.65,156.5,230.42
4185,0.71,157.9,230.51
4200,0.55,157.8,230.53
4215,0.66,159.3,230.44
4230,0.78,156.38,230.43
4245,0.61,155.67,230.52
4260,0.73,157.66,230.53
4275,0.79,158.02,230.42
4290,0.64,156.45,230.42
4305,0.68,154.94,230.48
4320,0.65,157.18,230.47
4335,0.66,155.61,230.42
4350,0.75,157.14,230.41
4365,0.56,156.97,230.41
4380,0.7,156.9,230.41
4395,0.67,155.15,230.44
4410,0.54,155.28,230.55
4425,0.7,156.17,230.4
4440,0.67,154.58,230.51
4455,0.6,157,230.5
4470,0.7,159.22,230.4
4485,0.65,153.86,230.49
4500,0.56,155.6,230.54
4515,0.63,156.7,230.4
4530,0.69,154.68,230.47
4545,0.69,155.51,230.53
4560,0.83,156.73,230.42
4575,0.56,154.46,230.42
4590,0.7,157.08,230.55
4605,0.61,156.73,230.44
4620,0.7,154.28,230.43
4635,0.76,154.73,230.55
4650,0.57,156.17,230.41
4665,0.71,154.42,230.53
4680,0.65,156.19,230.43
4695,0.68,153.44,230.48
4710,0.72,158,230.52
4725,0.66,157.28,230.4
4740,0.62,154.24,230.51
4755,0.62,118.94,230.54
4770,0.63,120.34,230.48
4785,0.63,118.6,230.43
4800,0.63,119.26,230.53
4815,0.63,119,230.4
4830,0.63,117.84,230.55
4845,0.63,120.23,230.44
4860,0.63,118,230.45
4875,0.63,118.21,230.55
4890,0.63,119.76,230.52
4905,0.63,119.99,230.43
4920,0.63,117.21,230.44
4935,0.63,118.16,230.55
4950,0.66,119.95,230.47
4965,0.63,117.64,230.43
4980,0.6,118.88,230.55
4995,0.61,118.88,230.41
5010,0.62,117.74,230.55
5025,0.62,118.97,230.43
5040,0.63,117.66,230.53
5055,0.63,119.78,230.49
5070,0.64,118.41,230.41
5085,0.64,116.95,230.54
5100,0.64,119.39,230.51
5115,0.62,119.48,230.43
5130,0.64,118.17,230.42
5145,0.64,116.92,230.47
5160,0.64,118.49,230.55
5175,0.63,119.13,230.44
5190,0.64,117.92,230.42
5205,0.62,117.41,230.42
5220,0.64,116.8,230.49
5235,0.62,117.45,230.56
5250,0.64,118.37,230.55
5265,0.65,119.13,230.48
5280,0.63,118.64,230.42
5295,0.61,116.9,230.45
5310,0.64,117.21,230.56
5325,0.65,118.59,230.53
5340,0.62,118.84,230.45
5355,0.64,118.58,230.43
5370,0.64,117.27,230.43
5385,0.63,115.68,230.53
5400,0.66,118.15,230.53
5415,0.64,119.19,230.44
5430,0.58,116.89,230.46
5445,0.66,115.24,230.56
5460,0.62,117.22,230.51
5475,0.64,117.09,230.42
5490,0.62,115.79,230.56
5505,0.63,116.71,230.42
5520,0.65,115.12,230.54
5535,0.65,117.03,230.43
5550,0.61,115.2,230.55
5565,0.63,117.53,230.49
5580,0.63,115.95,230.42
5595,0.62,115.25,230.56
5610,0.63,117.5,230.49
5625,0.61,116.53,230.41
5640,0.63,114.78,230.52
5655,0.64,116.72,230.51
5670,0.65,115.76,230.41
5685,0.63,114.6,230.53
5700,0.65,117.19,230.51
5715,0.61,115.76,230.43
5730,0.63,114.99,230.54
5745,0.64,116.99,230.51
5760,0.63,114.9,230.46
5775,0.64,117.08,230.48
5790,0.61,114.49,230.48
5805,0.64,116.77,230.47
5820,0.65,114.05,230.49
5835,0.63,115.79,230.55
5850,0.64,115.9,230.42
5865,0.66,115.75,230.55
5880,0.65,114.36,230.47
5895,0.62,116.23,230.53
5910,0.64,116.3,230.42
5925,0.65,114.25,230.46
5940,0.64,114.3,230.54
5955,0.65,114.57,230.56
5970,0.62,114.63,230.55
5985,0.61,114.08,230.46
6000,0.64,115.94,230.41
6015,0.62,116.71,230.44
6030,0.63,116.88,230.5
6045,0.66,116.38,230.53
6060,0.66,115.56,230.53
6075,0.65,116.3,230.5
6090,0.64,116.33,230.52
6105,0.65,115.92,230.54
6120,0.64,113.7,230.53
6135,0.62,114.02,230.46
6150,0.64,114.81,230.42
6165,0.7,116.36,230.45
6180,0.71,116.41,230.45
6195,0.7,115.38,230.42
6210,0.71,114.23,230.45
6225,0.71,113.56,230.49
6240,0.72,115,230.42
6255,0.71,115.33,230.55
6270,0.72,113.18,230.54
6285,0.71,113.67,230.51
6300,0.71,114.22,230.56
6315,0.72,115.26,230.56
6330,0.7,115.72,230.52
6345,0.7,116.37,230.48
6360,0.72,116.15,230.5
6375,0.71,114.24,230.57
6390,0.71,114.2,230.44
6405,0.72,115.58,230.43
6420,0.72,116.22,230.47
6435,0.72,115.44,230.55
6450,0.72,112.77,230.52
6465,0.72,114.59,230.42
6480,0.71,115.42,230.52
6495,0.72,113.7,230.57
6510,0.72,113.32,230.54
6525,0.72,114.36,230.42
6540,0.72,115.75,230.48
6555,0.72,115.03,230.54
6570,0.72,114.01,230.57
6585,0.72,113.5,230.57
6600,0.71,113.62,230.57
6615,0.72,113.11,230.55
6630,0.71,113.41,230.5
6645,0.72,114.19,230.44
6660,0.73,115.35,230.46
6675,0.71,115.92,230.47
6690,0.73,115.22,230.44
6705,0.72,115.5,230.45
6720,0.73,115.12,230.45
6735,0.72,115.11,230.54
6750,0.72,113.99,230.58
6765,0.71,114.26,230.57
6780,0.72,113.09,230.57
6795,0.72,113.29,230.52
6810,0.71,113.57,230.43
6825,0.73,115.26,230.46
6840,0.72,115.42,230.53
6855,0.72,113.85,230.58
6870,0.72,112.2,230.54
6885,0.7,112.94,230.48
6900,0.72,114.2,230.43
6915,0.73,114.34,230.56
6930,0.71,112.98,230.57
6945,0.72,112.87,230.55
6960,0.75,112.08,230.46
6975,0.71,114.61,230.49
6990,0.7,112.5,230.52
7005,0.71,114.76,230.43
7020,0.73,114.81,230.51
7035,0,32,230.47
7050,0,34.53,230.47
7065,0,32.45,230.58
7080,0,32.34,230.47
7095,0,34.59,230.49
7110,0,32.84,230.58
7125,0,32.52,230.46
7140,0,34.51,230.51
7155,0,32.37,230.57
7170,0,31.89,230.51
7185,1.94,1531.72,230.44
7200,1.94,1530.89,230.46
7215,1.94,1528.27,230.58
7230,1.94,1529.62,230.43
7245,1.94,1529.31,230.55
7260,1.94,1526.52,230.54
7275,1.94,1529.24,230.44
7290,1.94,1530.7,230.57
7305,1.94,1530.21,230.49
7320,1.94,1529.17,230.45
7335,1.93,1536.73,230.56
7350,1.93,1538.71,230.43
7365,1.93,1535.59,230.57
7380,1.93,1535.73,230.57
7395,1.93,1537.93,230.47
7410,1.91,1548.34,230.44
7425,1.89,1562.51,230.54
7440,1.92,1546.31,230.57
7455,1.92,1544.59,230.5
7470,1.93,1532.33,230.43
7485,1.93,1532.88,230.44
7500,1.93,1534.84,230.52
7515,1.91,1550.32,230.44
7530,1.87,1587.47,230.44
7545,1.97,3594,230.43
7560,1.93,3666.41,230.49
7575,1.93,3667.7,230.49
7590,1.95,3665.72,230.46
7605,1.98,3669.79,230.44
7620,1.92,3667.83,230.38
7635,1.97,3677.6,230.38
7650,1.92,3671.65,230.38
7665,1.9,3668.14,230.39
7680,1.95,3665.3,230.4
7695,1.94,3647.37,230.37
7710,1.97,3604.66,230.4
7725,1.92,3577.14,230.48
7740,1.94,3573.54,230.49
7755,1.89,3579.34,230.47
7770,1.94,3646.89,230.48
7785,1.93,3700.31,230.49
7800,1.96,3676.26,230.48
7815,1.9,3677.07,230.41
7830,1.92,3672.87,230.37
7845,1.87,3665.96,230.48
7860,1.87,3667.35,230.42
7875,1.91,3674.18,230.39
7890,1.93,3660.43,230.48
7905,1.93,3657.07,230.45
7920,1.94,3657.42,230.37
7935,1.95,3666.63,230.4
7950,1.89,3649.69,230.48
7965,1.93,3650.87,230.48
7980,1.9,3648.27,230.45
7995,1.96,3660.58,230.45
8010,1.95,3656.98,230.48
8025,1.83,1621.04,230.54
8040,1.82,1624.63,230.46
8055,1.83,1622.73,230.5
8070,1.82,1625.11,230.53
8085,1.83,1620.24,230.5
8100,1.82,1623.12,230.48
8115,1.82,1624.27,230.62
8130,1.83,1623.15,230.45
8145,1.86,1593.58,230.4
8160,1.91,1550.14,230.41
8175,1.93,1531.9,230.41
8190,1.93,1532.1,230.41
8205,1.91,1553.83,230.43
8220,1.83,1618.07,230.51
8235,1.78,1657.78,230.51
8250,1.81,1633.03,230.5
8265,1.84,1610.99,230.52
8280,1.8,1644.93,230.53
8295,1.79,1658.73,230.53
8310,1.82,1625.38,230.53
8325,1.85,1600.67,230.43
8340,1.81,1632.47,230.39
8355,1.82,1627.02,230.4
8370,1.82,1627.37,230.35
8385,1.84,1610.15,230.45
8400,1.83,1618.76,230.51
8415,1.86,1590.95,230.39
8430,1.83,1616.21,230.51
8445,1.82,1628.02,230.46
8460,1.8,1641.69,230.36
8475,1.81,1637.32,230.44
8490,1.8,1643.61,230.48
8505,1.79,1647.23,230.5
8520,1.8,1641.22,230.43
8535,1.8,1642.97,230.48
8550,1.8,1645.83,230.5
8565,1.8,1641.27,230.58
8580,1.77,1678.24,230.4
8595,1.81,1637.1,230.41
8610,1.86,1592.24,230.52
8625,1.87,1581.54,230.36
8640,1.87,1580.51,230.39
8655,1.85,1604.27,230.41
8670,NaN,2968.2,231.05
8685,1.89,3626.05,230.38
8700,1.92,3630.33,230.29
8715,1.89,3610.72,230.33
8730,1.92,3631.37,230.35
8745,1.88,3624.39,230.28
8760,1.96,3641.81,230.35
8775,1.89,3636.54,230.27
8790,1.9,3628.51,230.39
8805,1.89,3725.59,230.3
8820,1.84,3728.57,230.38
8835,1.85,3711.82,230.33
8850,1.9,3686.57,230.27
8865,NaN,5295.69,233.03
8880,1.9,5751.07,230.24
8895,NaN,4436.68,234.1
8910,1.81,3712.66,230.29
8925,1.93,3710.53,230.32
8940,1.9,3711.46,230.37
8955,1.83,3711.04,230.26
8970,1.96,3707.88,230.34
8985,1.85,3714.89,230.3
9000,1.84,3712.01,230.35
9015,1.8,3759.83,230.28
9030,1.84,3743.14,230.35
9045,1.86,3703.22,230.32
9060,1.87,3650.95,230.34
9075,1.85,3649.29,230.34
9090,1.86,3650.51,230.3
9105,1.95,3658.57,230.36
9120,1.95,3777.23,230.34
9135,1.95,3762.96,230.28
9150,1.83,3782.12,230.38
9165,1.82,3761.7,230.26
9180,1.85,3752.73,230.38
9195,1.91,3768.12,230.26
9210,1.9,3666.41,230.36
9225,1.9,3652.77,230.32
9240,1.9,3651.01,230.27
9255,1.86,3730.24,230.37
9270,1.84,3714.09,230.31
9285,1.72,3873.32,230.36
9300,1.77,3910.07,230.29
9315,NaN,2252.81,230.42
9330,1.64,1958.14,230.43
9345,1.6,1949.67,230.43
9360,1.82,1720.6,230.47
9375,1.8,1727.46,230.39
9390,1.85,1720.87,230.37
9405,1.81,1742,230.36
9420,1.73,1750.7,230.49
9435,1.72,1770.92,230.36
9450,1.69,1805.51,230.49
9465,1.69,1814.83,230.36
9480,1.68,1821.01,230.48
9495,1.72,1765.75,230.4
9510,1.8,1704.47,230.37
9525,1.86,1704.96,230.39
9540,1.81,1705.9,230.46
9555,1.83,1677.48,230.49
9570,1.83,1672.52,230.48
9585,1.88,1670.91,230.45
9600,1.86,1670.19,230.37
9615,1.86,1664.66,230.36
9630,1.85,1677.71,230.35
9645,1.81,1753.59,230.35
9660,1.81,1758.91,230.46
9675,1.71,1809.88,230.53
9690,1.71,1812.42,230.49
9705,1.71,1816.16,230.44
9720,1.72,1807.69,230.44
9735,1.71,1810.17,230.49
9750,1.72,1804.61,230.45
9765,1.64,1830.63,230.36
9780,1.8,1793.13,230.41
9795,1.79,1816.44,230.5
9810,1.72,1788.61,230.4
9825,1.72,1782.31,230.39
9840,1.73,1711.12,230.51
9855,1.7,1742.72,230.5
9870,1.7,1779,230.44
9885,1.81,1775.31,230.43
9900,1.79,1810.48,230.49
9915,1.85,1707.05,230.48
9930,1.71,1907.39,230.41
9945,NaN,1931.01,230.52
9960,1.62,1931.5,230.46
9975,1.64,1916.81,230.47
9990,1.6,1921.37,230.43
10005,NaN,1700.04,230.43
10020,1.91,1678.6,230.51
10035,1.87,1713.75,230.42
10050,1.87,3676.66,230.3
10065,1.87,3675.03,230.41
10080,1.87,3700.62,230.29
10095,1.86,3712.58,230.36
10110,1.88,3737.58,230.41
10125,1.86,3747.11,230.35
10140,1.88,3755.36,230.29
10155,1.86,3750.88,230.33
10170,1.86,3753.14,230.35
10185,1.85,3704.58,230.32
10200,1.88,3640.12,230.32
10215,1.81,3638.4,230.35
10230,1.84,3633.19,230.3
10245,1.88,3637.45,230.32
10260,1.86,3644.14,230.36
10275,1.89,3641.86,230.42
10290,1.87,3636.06,230.42
10305,1.86,3643.58,230.42
10320,1.9,3640.28,230.43
10335,1.88,3666.67,230.42
10350,1.92,3720.97,230.42
10365,1.9,3746,230.42
10380,1.94,3745.63,230.43
10395,1.88,3758.72,230.37
10410,1.89,3759.47,230.35
10425,1.88,3742.05,230.37
10440,1.85,3687.83,230.33
10455,1.9,3709.43,230.31
10470,1.89,3745.91,230.31
10485,1.85,3695.9,230.34
10500,1.79,4098.06,230.4
10515,1.78,3892.41,230.42
10530,1.8,3888.99,230.31
10545,1.79,3882.08,230.38
10560,1.65,1931.65,230.59
10575,1.56,1929.9,230.43
10590,1.56,1929.28,230.5
10605,1.53,1926.99,230.51
10620,1.53,1928.87,230.44
10635,1.59,1899.83,230.55
10650,1.62,1894.48,230.43
10665,1.6,1896.18,230.42
10680,1.56,1893.7,230.53
10695,1.59,1900.87,230.45
10710,1.59,1899.18,230.51
10725,1.59,1895.69,230.48
10740,1.62,1903.56,230.47
10755,NaN,1818.29,230.51
10770,1.85,1596.68,230.42
10785,1.86,1598.09,230.42
10800,1.86,1590.83,230.42
10815,1.84,1608.54,230.46
10830,1.86,1589.63,230.55
10845,1.87,1587.45,230.49
10860,1.86,1592.61,230.43
10875,1.86,1589.39,230.49
10890,1.86,1590.93,230.5
10905,1.86,1594.21,230.43
10920,1.86,1588.85,230.57
10935,1.86,1591.15,230.44
10950,1.86,1593.57,230.43
10965,1.86,1590.02,230.51
10980,1.86,1590.31,230.55
10995,1.86,1591.13,230.55
11010,1.86,1588.87,230.43
11025,1.89,1566.26,230.42
11040,1.89,1569.49,230.42
11055,1.89,1568.31,230.5
11070,1.89,1566.35,230.48
11085,1.89,1566.88,230.44
11100,1.89,1569.05,230.44
11115,1.89,1569.44,230.44
11130,1.89,1568.31,230.43
11145,1.89,1568.02,230.46
11160,1.89,1567.83,230.47
11175,1.89,1566.13,230.48
11190,1.89,1563.8,230.43
11205,1.89,1565.9,230.47
11220,1.89,1567.64,230.51
11235,1.89,1569.54,230.5
11250,1.89,1568.59,230.49
11265,1.89,1567.3,230.44
11280,1.89,1566.54,230.43
11295,1.89,1563.1,230.44
11310,1.9,1561.32,230.52
11325,1.71,1746.47,230.64
11340,1.69,1754.4,230.56
11355,1.7,1780.29,230.58
11370,1.69,1769.88,230.58
11385,NaN,1772.38,230.61
11400,1.65,1948.89,230.46
11415,1.68,1950.12,230.58
11430,1.69,1931.46,230.54
11445,NaN,3897.74,230.05
11460,1.84,4498.24,230.74
11475,1.87,4466.79,230.75
11490,1.85,4460.3,230.67
11505,1.87,4459.14,230.65
11520,1.86,4451.86,230.63
11535,1.85,4453.05,230.66
11550,1.86,4453.27,230.69
11565,1.87,4450.75,230.73
11580,1.87,4447.18,230.74
11595,1.86,4447.09,230.66
11610,1.87,4442.92,230.63
11625,1.86,4440.3,230.68
11640,1.86,4437.84,230.75
11655,1.87,4437.22,230.75
11670,1.86,4438.91,230.73
11685,1.83,4433.16,230.68
11700,1.66,1896.05,230.53
11715,1.81,1897.11,230.61
11730,1.86,4460.26,230.68
11745,1.86,4450.56,230.67
11760,1.86,4432.82,230.76
11775,1.84,3786.52,230.6
11790,1.84,3787.8,230.66
11805,1.85,3789.34,230.68
11820,1.82,3786.13,230.61
11835,1.84,3785.2,230.71
11850,1.81,4435.38,230.65
11865,NaN,4088.62,231.01
11880,1.82,4452.36,230.76
11895,1.86,3812.8,230.61
11910,1.83,3809.2,230.64
11925,1.83,3811.94,230.73
11940,1.84,3807.91,230.66
11955,1.84,3807.19,230.59
11970,1.84,3810.78,230.71
11985,1.86,3811.62,230.71
12000,1.85,3808.83,230.58
12015,1.83,3806.87,230.65
12030,1.84,3806.66,230.71
12045,1.83,3809.33,230.59
12060,1.85,3823.74,230.66
12075,1.84,3825.69,230.68
12090,1.85,3820.13,230.59
12105,1.84,3803.14,230.73
12120,1.85,3801.47,230.58
12135,1.83,3804.08,230.66
12150,1.84,3806.78,230.73
12165,1.84,3767.63,230.63
12180,1.85,3781.93,230.63
12195,1.85,3701.44,230.72
12210,1.86,4452.86,230.71
12225,1.87,4451.29,230.65
12240,1.88,3804.38,230.68
12255,1.83,3802.31,230.7
12270,1.85,3805.66,230.72
12285,1.84,3805.99,230.69
12300,NaN,1892,230.67
12315,1.64,1891.45,230.55
12330,1.87,4456.22,230.72
12345,1.84,3800.94,230.59
12360,1.69,1894.37,230.46
12375,1.69,1894.87,230.48
12390,NaN,4664.75,230.71
12405,1.86,4466.42,230.78
12420,1.85,3817.61,230.74
12435,1.84,3803.38,230.74
12450,1.84,3800.57,230.66
12465,1.84,3798.7,230.6
12480,1.86,3800.49,230.64
12495,1.93,3798.52,230.73
12510,1.85,3777.89,230.7
12525,1.79,3779.57,230.6
12540,1.85,3795.21,230.71
12555,1.81,3899.2,230.69
12570,1.8,3903.69,230.61
12585,1.81,3895.94,230.68
12600,1.85,3903.96,230.71
12615,1.81,3894.7,230.59
12630,1.81,3889.38,230.62
12645,1.82,3893.39,230.66
12660,1.81,3887.76,230.72
12675,1.82,3889.34,230.74
12690,1.82,3890.81,230.71
12705,1.81,3892.38,230.67
12720,1.81,3887.84,230.64
12735,1.82,3902.08,230.63
12750,1.82,3905.61,230.59
12765,1.8,3904.33,230.67
12780,1.81,3888.54,230.71
12795,1.82,3887.05,230.59
12810,1.81,3891.79,230.72
12825,1.82,3885.67,230.66
12840,1.82,3861.91,230.59
12855,1.83,3870.03,230.73
12870,1.81,3877.46,230.59
12885,1.82,3886.44,230.73
12900,1.82,3885.88,230.61
12915,1.63,1979.98,230.56
12930,1.64,1982.67,230.51
12945,1.64,1979.51,230.57
12960,1.63,1985.31,230.54
12975,1.64,1981.65,230.52
12990,1.64,1981.62,230.57
13005,1.63,1977.9,230.55
13020,1.63,1981.14,230.57
13035,1.64,1981.01,230.48
13050,1.63,1983.08,230.62
13065,1.64,1983.38,230.47
13080,1.65,1997.32,230.54
13095,1.64,1997.69,230.58
13110,1.63,1978.96,230.47
13125,1.65,1977.82,230.61
13140,1.71,1982.77,230.5
13155,1.82,3896.73,230.62
13170,1.82,3861.32,230.7
13185,1.82,3869.07,230.74
13200,1.82,3857.49,230.71
13215,1.81,3887.08,230.6
13230,1.81,3887.01,230.65
13245,1.83,3889,230.72
13260,1.81,3889.91,230.74
13275,1.82,3888.51,230.68
13290,1.82,3886.22,230.6
13305,1.52,3886.41,230.66
13320,1.64,1974.13,230.61
13335,1.66,1976.29,230.61
13350,1.62,1976.51,230.58
13365,1.63,1978.77,230.56
13380,1.64,1976.99,230.59
13395,1.65,1976.82,230.59
13410,1.66,1998.06,230.48
